"address","descriptive_name","confidence","disc1_present","disc2_present","instructions","static_call_sites","direct_callees","has_return","disc1_overlay_referenced","disc2_overlay_referenced","embedded_asset_range","disc1_seed_evidence","disc2_seed_evidence","disc1_exact_sha256","disc2_exact_sha256","structural_sha256","sf3_address","sf3_match_kind"
"0x8004f438",,,"1","1","151","1","2","1","0","0","0","direct_call","direct_call","0dd81a06dcf807f819bac17b4128c52e9b1072d45be86edf1aff0730fab26803","0dd81a06dcf807f819bac17b4128c52e9b1072d45be86edf1aff0730fab26803","d1d5fc2363ce358230acdbd3fd73ef6848e43893bc6e247649831ffe331dc121",,
"0x8004f694",,,"1","1","45","1","2","1","1","1","0","direct_call+overlay","direct_call+overlay","c3cbe06bd94506ff67bdde071cfbfeeb1b2a49d7ecb4197faae5214b9aef14a6","c3cbe06bd94506ff67bdde071cfbfeeb1b2a49d7ecb4197faae5214b9aef14a6","35b37c0adde6493c308398d900de795d2fb6ca4247b0b7128e25d9d5c952cfb0",,
"0x8004f748",,,"1","1","30","1","1","1","0","0","0","direct_call","direct_call","f2d12cfb54aafd8896f2b980443efeea5f1f7f452365b326333eb7f2447ee845","f2d12cfb54aafd8896f2b980443efeea5f1f7f452365b326333eb7f2447ee845","aa8a0e3d8b496353b4920772eb327c06540c8c3b621ae7571bd836f373dbb362","0x80050CA8","structural"
"0x8004f7c0",,,"1","1","10","0","2","1","0","0","0","prologue_only","prologue_only","44f4e96ae5ea8f77b0dfb2e911478f1f561aceec20eceebd528540b18e7128d2","44f4e96ae5ea8f77b0dfb2e911478f1f561aceec20eceebd528540b18e7128d2","2d6c54da55f98ec20398d4eef76a82eb86d7271c6052529d033235517fcfa9fa",,
"0x8004f7e8",,,"1","1","568","3","14","1","0","0","0","direct_call","direct_call","7039ddc211177e0ccb01ed71a686a9aeeec93494b0f0956bf6140e92614c7354","7039ddc211177e0ccb01ed71a686a9aeeec93494b0f0956bf6140e92614c7354","359945bcd0fce3a27ede14c6606f911d64dfd97dcfa9eab90757aaa2d2e06642","0x80050D48","structural"
"0x800500c8",,,"1","1","46","5","0","1","0","0","0","direct_call","direct_call","b43789ca834d1c9b1f8cb96947a3b6af9f9279516acd9960b21f494e15878201","b43789ca834d1c9b1f8cb96947a3b6af9f9279516acd9960b21f494e15878201","fcad95a5924de5c7ad339cef99daf9035fb3dc86f57a95de7f17b086b611540b","0x80051628","structural"
"0x80050180",,,"1","1","7","4","0","1","0","0","0","direct_call","direct_call","bcef590436e2bd7511a9fb0ef3aa8d1be9b597194f8db3a972874b98d2322197","bcef590436e2bd7511a9fb0ef3aa8d1be9b597194f8db3a972874b98d2322197","f0b82642dd8f9d7d8bbce8d2a4b9a1698789a5c1584b18a0ecef8ac0fa5697f5","0x800516E0","structural"
"0x8005019c",,,"1","1","41","3","1","1","0","0","0","direct_call","direct_call","365fe179b8b310621f0ff4545e7f48fffb59753aed056b7f1d7e523c6a4cef55","365fe179b8b310621f0ff4545e7f48fffb59753aed056b7f1d7e523c6a4cef55","b382e5e8b360c86abe948aff9810978f95a2164974c339498da9e256caaea6d3","0x800516FC","structural"
"0x80050240",,,"1","1","35","1","0","1","0","0","0","direct_call","direct_call","9aa6f5e881adea8b9295703610629816144b7744b80361d8324e4852df6b7357","9aa6f5e881adea8b9295703610629816144b7744b80361d8324e4852df6b7357","cf255b1fb202f5a6eda9a597550fd14b88e17a43f05f7fe91e57df704a8a4379","0x800517A0","structural"
"0x800502cc",,,"1","1","14","1","0","1","0","0","0","direct_call","direct_call","d985d1aa2e1b430e7f4876b5c228bc6b69e5847b87af7260d50c540d0cd35f03","d985d1aa2e1b430e7f4876b5c228bc6b69e5847b87af7260d50c540d0cd35f03","371f7d66d6fd88f46d8b5f91ccd0f47f98c076532660b685412fe8d186f4900e","0x8005182C","structural"
"0x80050304",,,"1","1","22","1","0","1","0","0","0","direct_call","direct_call","6506b8575577287a733355a908f8444ed1a34c4cb638d807f586f01345ed54b7","6506b8575577287a733355a908f8444ed1a34c4cb638d807f586f01345ed54b7","ecb6c3d46a1df3647f158376fb9abf9a58f30b31a6f4dd6a4d58054edb5cfac1",,
"0x8005035c",,,"1","1","22","1","0","1","0","0","0","direct_call","direct_call","fcdd69957a60379ea23f488c0713c885983be8816fe5e60a4dc7bab08a5905f6","fcdd69957a60379ea23f488c0713c885983be8816fe5e60a4dc7bab08a5905f6","ecb6c3d46a1df3647f158376fb9abf9a58f30b31a6f4dd6a4d58054edb5cfac1",,
